b,bb,g,path,r
-2.72085954142,-13.5124721354,-7.42821958507,ANd9GcQ4JP-7ZLgGwC2qrsx_Z5a-plNug0qhp3N9IRDo6sshcLyfxzWO6w.jpg,39.9119880146
40.7279115579,-12.7592426076,-2.51349373608,ANd9GcQ4ngCd7aNf4Uezdx0Y0auIPqxkNiH4GoNliFw5g6Z0Xfa89NxDCw.jpg,58.5578420415
4.59816945204,-20.9964854573,9.16199881755,ANd9GcQ4xQ4yZJruTBDxeUh-LiXY_jYACdG89W-mgxzr9j2KgSIO-tikVg.jpg,40.8999086588
26.4455420183,-13.5508254833,-3.96522120581,ANd9GcQ5bxI1StZT-Skc7GLImMqAxU7f6R3YCS96MJuPYtmfGcu7nYoE.jpg,33.9022690679
8.49398860119,-9.12248157164,6.86427556621,ANd9GcQ5CqYkr1Cb2Ya8TEOSlgmOSXTHXjl2DMuevAxNgj7HaLoWvJvPKw.jpg,49.7770370191
9.20573839006,-9.6289714889,2.47932762088,ANd9GcQ5EUHDl9-SF9BaYEhvQubvdzWwTDN-PnPDfez32vy9eIFMuwl3.jpg,20.7691430081
-12.2175629408,-16.6575234789,-9.36305592231,ANd9GcQ65q43sQs6EJ4mKQsxKfMBGWP4D_i0MJiMu0qta5fK7QNeuWDKFA.jpg,46.5240721772
-2.85784475656,-22.5348491164,0.909316941227,ANd9GcQ6cVDXvUc7jyi9jm328NsCpE4rzieF9ODQl2BF0c3LgTF0Wq7zEA.jpg,31.1071901044
31.6776395598,-8.91542046795,6.52952530062,ANd9GcQ7GxZrY7hGRmi8BJRu9o3W481eNLRX9cvRrUFQUyH20dcIWEdXxg.jpg,61.9054272115
-2.13626341302,-5.61821284043,-1.60583428042,ANd9GcQ7o765xVKBRmxQV86d_tNQDLYtQDdqTVEkq7NCQaOaNwgKDmjC.jpg,40.522984014
-11.2112997665,8.68274890782,-15.8980512043,ANd9GcQ88hel4_MLyc_zJjbxGX3tDkb1GCF6aGNx0KEll3c9Cpxuk7-p.jpg,69.1137078199
-32.4229154121,-4.38095501144,-18.4400639986,ANd9GcQ8aVsiop_6jvwv9gAjF-tM33K00W2nR8o-taJIjEKcjt0OmwlmQQ.jpg,71.1636871807
27.2583538301,-10.7515424315,-7.25446350413,ANd9GcQ8flX7rfBV2lAuV0MlAwKTdxnL8JCbCWsSKm43JQfegqcgOJDY.jpg,44.8766564657
-13.2848959285,-4.97355310001,-8.04066781657,ANd9GcQ8n7XwIJxEZuJkxpWSqAsSxoR4itQBY3-Uq8B7Wdl3p4jvp4Tw.jpg,70.1664175148
14.7142121974,-26.7956791296,37.4726966389,ANd9GcQ8wY8bTOiMbLlC3qstrkoWFjNkVMnyVUStMt4XdTp8QKAhtAwh.jpg,35.8438394311
5.74847250363,-22.0608920991,-9.6930946472,ANd9GcQ94dpmqwIQQyYMSOl1k7vjsIQpiYMCtquwrc5eHCFUSlZgI3Eu.jpg,47.9949911303
23.4191451104,-9.04732389305,-2.57761315057,ANd9GcQ95I9SmXC9IFFx2H6pbyuMcUuNhtFOBEYaaUvHGxyF0spef8qU.jpg,47.6049893503
-5.35117125267,-14.365026274,-0.844110742998,ANd9GcQ9Be07dZXIkJDxc3gxs--0y1lkhBu8B1Lxl8BewN7vK1h7TfYr4A.jpg,49.5359671685
